2021-02-26 18:52:42,636 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=b7ade06a-e13a-468b-878e-1f10e87588ef
2021-02-26 18:52:45,169 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2021-02-26 18:52:46,493 [11] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2021-02-26 18:52:46,500 [11] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2021-02-26 18:52:46,510 [11] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 192.168.1.12, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID b7ade06a-e13a-468b-878e-1f10e87588ef, Hostname localhost, IPv6Address 
2021-02-26 18:52:46,580 [12] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=b7ade06a-e13a-468b-878e-1f10e87588ef
2021-02-26 19:04:36,046 [12] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 35
2021-02-26 19:04:36,073 [12] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2021-02-26 19:06:59,933 [10] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2021-02-26 19:06:59,947 [10] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2021-02-27 02:20:58,458 [34] WARN  ExitGames.Diagnostics.Monitoring.Protocol.PhotonBinaryWriterBase - SendData: Publishing counter data failed for the 0 time: Un argument non valide a été fourni
2021-02-27 02:20:58,469 [34] WARN  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher stopped working because of a network loss
2021-02-27 22:22:10,493 [24] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 35
2021-02-27 22:22:10,516 [24] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2021-02-27 22:22:26,051 [24] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Normal with input 50
2021-02-27 22:22:26,074 [24] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Normal
2021-02-27 22:24:10,312 [14] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Normal to Low with input 35
2021-02-27 22:24:10,337 [14] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Normal, new=Low
2021-02-27 22:24:58,857 [9] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2021-02-27 22:24:58,865 [9] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2021-02-28 00:24:13,843 [28] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 35
2021-02-28 00:24:13,861 [28] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2021-02-28 00:26:02,087 [13] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2021-02-28 00:26:02,096 [13] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2021-03-01 14:33:24,484 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=d2f78880-1a00-4b07-8df3-80f3896a5ceb
2021-03-01 14:33:24,931 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2021-03-01 14:33:24,946 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2021-03-01 14:33:24,966 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2021-03-01 14:33:25,767 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2021-03-01 14:33:25,793 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2021-03-01 14:33:25,809 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2021-03-01 14:33:25,828 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2021-03-01 14:33:25,848 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2021-03-01 14:33:25,872 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2021-03-01 14:33:25,893 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2021-03-01 14:33:25,910 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2021-03-01 14:33:25,927 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2021-03-01 14:33:25,945 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2021-03-01 14:33:25,959 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2021-03-01 14:33:25,974 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2021-03-01 14:33:25,987 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2021-03-01 14:33:26,001 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2021-03-01 14:33:26,028 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file C:\Users\omari\Desktop\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config. Using default settings... (Le fichier 'C:\Users\omari\Desktop\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config' est introuvable.)
2021-03-01 14:33:26,054 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in C:\Users\omari\Desktop\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\ServerState.txt
2021-03-01 14:33:26,070 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2021-03-01 14:33:26,084 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2021-03-01 14:33:26,247 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=d2f78880-1a00-4b07-8df3-80f3896a5ceb
2021-03-01 14:33:26,295 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=C:\Users\omari\Desktop\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2021-03-01 14:33:26,317 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2021-03-01 14:33:28,337 [14] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2021-03-01 14:33:28,352 [14] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2021-03-01 14:33:28,371 [14] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 172.30.16.10, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID d2f78880-1a00-4b07-8df3-80f3896a5ceb, Hostname localhost, IPv6Address 
2021-03-01 14:33:28,504 [12] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=d2f78880-1a00-4b07-8df3-80f3896a5ceb
2021-03-01 14:33:40,997 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - OnStopRequested: serverid=d2f78880-1a00-4b07-8df3-80f3896a5ceb
2021-03-01 14:33:41,013 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=Game
2021-03-01 14:33:41,015 [10] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - connection to master closed (id=2, reason=ManagedDisconnect, detail=), serverId=d2f78880-1a00-4b07-8df3-80f3896a5ceb
2021-03-01 14:33:41,095 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TearDown: serverId=d2f78880-1a00-4b07-8df3-80f3896a5ceb
2021-03-01 14:33:41,109 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=Game
2021-03-01 14:34:15,216 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=729a7519-9d3d-4570-81b5-f357985286ae
2021-03-01 14:34:15,665 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2021-03-01 14:34:15,680 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2021-03-01 14:34:15,701 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2021-03-01 14:34:16,417 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2021-03-01 14:34:16,433 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2021-03-01 14:34:16,449 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2021-03-01 14:34:16,464 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2021-03-01 14:34:16,480 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2021-03-01 14:34:16,497 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2021-03-01 14:34:16,512 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2021-03-01 14:34:16,528 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2021-03-01 14:34:16,544 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2021-03-01 14:34:16,562 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2021-03-01 14:34:16,581 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2021-03-01 14:34:16,599 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2021-03-01 14:34:16,615 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2021-03-01 14:34:16,635 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2021-03-01 14:34:16,670 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file C:\Users\omari\Desktop\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config. Using default settings... (Le fichier 'C:\Users\omari\Desktop\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config' est introuvable.)
2021-03-01 14:34:16,702 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in C:\Users\omari\Desktop\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\ServerState.txt
2021-03-01 14:34:16,724 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2021-03-01 14:34:16,746 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2021-03-01 14:34:16,901 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=729a7519-9d3d-4570-81b5-f357985286ae
2021-03-01 14:34:16,970 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=C:\Users\omari\Desktop\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2021-03-01 14:34:17,009 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2021-03-01 14:34:18,759 [11] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2021-03-01 14:34:18,779 [11] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2021-03-01 14:34:18,805 [11] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 172.30.16.10, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID 729a7519-9d3d-4570-81b5-f357985286ae, Hostname localhost, IPv6Address 
2021-03-01 14:34:18,921 [13] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=729a7519-9d3d-4570-81b5-f357985286ae
2021-03-01 14:34:29,944 [10] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 37
2021-03-01 14:34:29,955 [10] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2021-03-01 14:36:23,196 [8] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2021-03-01 14:36:23,225 [8] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2021-03-01 14:43:00,407 [22] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 35
2021-03-01 14:43:00,577 [22] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2021-03-01 14:44:09,341 [11] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2021-03-01 14:44:09,341 [11] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2021-03-01 14:48:06,267 [25] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 35
2021-03-01 14:48:06,280 [25] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2021-03-01 14:49:43,303 [13] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2021-03-01 14:49:43,309 [13] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2021-03-06 19:41:48,660 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=2b636ce7-bb23-46e7-b658-5f315e6b10e9
2021-03-06 19:41:48,921 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2021-03-06 19:41:48,928 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2021-03-06 19:41:48,942 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2021-03-06 19:41:49,398 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2021-03-06 19:41:49,407 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2021-03-06 19:41:49,415 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2021-03-06 19:41:49,424 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2021-03-06 19:41:49,432 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2021-03-06 19:41:49,439 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2021-03-06 19:41:49,447 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2021-03-06 19:41:49,456 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2021-03-06 19:41:49,464 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2021-03-06 19:41:49,472 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2021-03-06 19:41:49,479 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2021-03-06 19:41:49,488 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2021-03-06 19:41:49,495 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2021-03-06 19:41:49,505 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2021-03-06 19:41:49,521 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file C:\Users\omari\Desktop\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config. Using default settings... (Le fichier 'C:\Users\omari\Desktop\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config' est introuvable.)
2021-03-06 19:41:49,535 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in C:\Users\omari\Desktop\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\ServerState.txt
2021-03-06 19:41:49,544 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2021-03-06 19:41:49,554 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2021-03-06 19:41:49,668 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=2b636ce7-bb23-46e7-b658-5f315e6b10e9
2021-03-06 19:41:49,701 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=C:\Users\omari\Desktop\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2021-03-06 19:41:49,714 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2021-03-06 19:41:51,635 [10] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2021-03-06 19:41:51,642 [10] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2021-03-06 19:41:51,656 [10] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 192.168.1.12, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID 2b636ce7-bb23-46e7-b658-5f315e6b10e9, Hostname localhost, IPv6Address 
2021-03-06 19:41:51,736 [14] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=2b636ce7-bb23-46e7-b658-5f315e6b10e9
2021-03-06 22:09:36,642 [22] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 35
2021-03-06 22:09:36,678 [22] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2021-03-06 22:09:53,137 [8] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Normal with input 50
2021-03-06 22:09:53,241 [8] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Normal
2021-03-06 22:12:47,048 [20] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Normal to Low with input 35
2021-03-06 22:12:47,065 [20] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Normal, new=Low
2021-03-06 22:13:36,566 [4] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2021-03-06 22:13:36,575 [4] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2021-03-07 17:50:33,780 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=9ca4062f-3943-42eb-9f59-f33781fe1c33
2021-03-07 17:50:33,978 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2021-03-07 17:50:33,985 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2021-03-07 17:50:33,994 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2021-03-07 17:50:34,310 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2021-03-07 17:50:34,318 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2021-03-07 17:50:34,326 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2021-03-07 17:50:34,334 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2021-03-07 17:50:34,342 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2021-03-07 17:50:34,349 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2021-03-07 17:50:34,357 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2021-03-07 17:50:34,365 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2021-03-07 17:50:34,371 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2021-03-07 17:50:34,377 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
